Feature,Coefficient
boxnqp,0.0982079005192273
boxqu,0.027805385015097737
boxskch,0.2838096442082272
boy,-0.3371450859946306
boye,-0.019742563963619012
boyfriend,-0.028347905193752444
boytoy,-0.09077224105824167
brah,-0.028578442152220974
brain,-0.06345285750951501
brand,0.3644090332515968
brandy,-0.05870752416934422
bray,0.1028919949153691
bread,-0.04654242173244217
break,0.1309997216589364
breath,-0.12691049837755025
breathe,0.02993943092420534
brief,-0.02834468003694775
bright,-0.05541110038007442
brilliant,-0.13195438425491837
bring,-0.39246751686735126
bringing,-0.04490753001483643
brings,-0.4802076692209937
bristol,-0.021968909315917724
british,0.23546515660590592
britney,0.18933228185326523
bro,0.0
broad,-0.009063339427448032
broke,-0.09669484080277516
broken,-0.006827227869680371
bros,-0.0150380465612388
brothas,-0.04244576375685522
brother,-0.2810242113075723
brought,0.5827519685862249
brownie,-0.047230141277337684
bruce,-0.02191158350428202
bruv,-0.024687010482659182
bslvyl,-0.18667798686081188
bstfrnd,-0.16391280064584704
bt,-0.11535284471121958
btnational,0.3558259581738417
btnationalrate,0.45223041035485106
btooth,0.008161413691823287
btw,-0.04006269445506519
buck,-0.0941737790570451
bud,-0.08205900968944488
buddy,-0.012513927711449229
budget,-0.13739942763448032
buff,-0.028914603493788125
buffet,-0.021993487864381295
bugis,-0.035771882139799725
build,-0.04323917065692364
building,-0.03831833548273585
bulb,0.12837362630189864
bun,-0.016221173128484388
burger,0.4129387714753316
burn,0.004143741894699676
burning,-0.06928821881102636
bus,-0.32790085621781817
business,-0.05217924989326562
busy,-0.04020554694751829
butt,-0.026364482299498813
buy,-0.07029160420895816
buyer,-0.027890025434233003
buying,-0.14057245584406686
buzy,-0.031459891459519246
buzz,-0.07387848407117473
bx,0.35586304949778286
bxipwe,0.40441376030454435
bye,-0.05008351719970809
cabin,-0.01483995888724278
cafe,-0.042864715825002626
cake,-0.06292834207011025
caken,-0.014686171706026244
cal,-0.11620874187226068
calculation,-0.06585413033874032
cali,-0.01631097133347342
calicut,-0.033453897760054564
california,-0.0846266736806204
call,2.8738582546027773
callback,0.13117679537877633
callcoz,-0.05113165289099321
calld,-0.05566045205948622
called,-0.0853998392690256
caller,-0.02312521886255422
callertune,-0.5880971387023809
callfreefone,0.050675603234699045
callin,-0.12491742338099573
calling,0.13969035119898338
calloptout,0.06850809282682711
calloptoutlf,0.017345938753493877
calloptoutndx,0.03322387740899141
calls,0.3862635596588265
callsmessagesmissed,-0.22904506265075628
calm,-0.06696203787970065
cam,0.350808489653447
camcorder,0.314127272859274
came,0.02822699481394711
camera,1.0114452794386857
cameravideo,0.09432703450605157
campus,-0.08556253961250716
can,-0.018709143425925497
canada,-0.018471821432675013
canal,-0.009063339427448032
canary,0.07682434039194451
cancel,0.18887286561609198
cancelled,-0.01975288805062467
cancer,-0.31780293524826403
cannot,-0.03940527251059433
cannt,-0.13729730941841994
cant,-0.7746389213940242
capital,-0.024935429933892667
cappuccino,-0.004669200610363832
captain,-0.07128079554998988
car,-0.29958666808670664
card,-0.010160150898819829
cardiff,-0.042465497912029464
care,-0.3732378323623408
cared,-0.06987108974099156
career,0.07098480544720329
careful,0.1273589763247582
carefully,-0.09508044338251612
careswt,-0.026361515214014117
caring,-0.08210548010960435
carlos,-0.16174213881366062
caroline,-0.0389531176767793
carry,-0.05258333834389832
cartoon,-0.06398093796521702
case,-0.2753399169234374
cash,1.8053669888387995
cashbalance,0.33228450050979114
cashin,0.33228450050979114
cashto,0.06453035109906233
castor,-0.011742943148919325
cat,-0.028497758619052342
catch,-0.13731919745148966
catching,-0.004884188223416513
caught,-0.013321528523287957
cause,-0.17945681474977493
causing,-0.08645360817861582
cbe,-0.07546095974665946
cc,0.22018684121751098
cd,0.35760587616643635
cdgt,0.28971703141515825
celeb,0.2169231445976445
celebrate,-0.06349671256620001
celebration,-0.032105662263410883
cell,-0.09521426147033478
center,0.18100670983777675
centre,-0.057280628065274994
certainly,-0.032983237734586696
cha,0.19170914505707426
chain,-0.08592558968462971
challenge,0.19672890979216912
chance,1.0151825059866386
change,-0.3683679073012808
changed,-0.035639728485615425
channel,0.2500988362250108
character,-0.10457886737659812
charge,0.013101450249406534
charged,0.6163497858745186
charity,0.7510577346970013
charles,-0.03249040377914236
chart,0.24273460407254957
chase,-0.034301024870698506
chasing,0.2018093053585869
chat,2.0077296704181786
chatting,0.26119627972560944
cheap,0.016201505814185908
cheaper,-0.004227557185212364
cheat,-0.01693488935269089
cheating,-0.09403777611939787
chechi,-0.02343757757770834
check,-0.21414071305671936
checked,-0.0660019072956398
checking,-0.21331114078102426
cheer,-0.27793810956389825
cheese,-0.014967813002963275
chennai,-0.3031705904160828
cherish,-0.03933314760168678
chest,-0.04761907972087011
chicken,-0.15592952580960054
chikku,-0.26894423457209204
child,0.09395088733432068
childish,-0.17026407068201987
