FPR,TPR
0.0,0.0
0.0,0.0036496350364963502
0.0,0.3467153284671533
0.0,0.354014598540146
0.0,0.7554744525547445
0.0011467889908256881,0.7554744525547445
0.0011467889908256881,0.8576642335766423
0.0022935779816513763,0.8576642335766423
0.0022935779816513763,0.8759124087591241
0.0034403669724770644,0.8759124087591241
0.0034403669724770644,0.9635036496350365
0.0045871559633027525,0.9635036496350365
0.0045871559633027525,0.9817518248175182
0.005733944954128441,0.9817518248175182
0.005733944954128441,0.9854014598540146
0.006880733944954129,0.9854014598540146
0.006880733944954129,0.9927007299270073
0.01834862385321101,0.9927007299270073
0.01834862385321101,0.9963503649635036
0.02408256880733945,0.9963503649635036
0.02408256880733945,1.0
1.0,1.0
