imdbID,Title,imdbRating,tags
tt1396208,Action Replayy,4.3,"comedy romance sci-fi vipulamrutlalshah irshadkamil aatishkapadia sureshnair akshaykumar aishwaryaraibachchan adityaroykapoor after witnessing nothing but acrimony between his bickering mumbai-based parents, kishen and mala chopra, bunty refuses to marry his girlfriend, tanya gonsalves. he is then introduced to her eccentric grandfather, professor anthony gonsalves, and finds that the latter has invented a time-travel machine. bunty travels back in time--specifically holi 1975--when mumbai was called bombay and gets to meet his parents when they were younger--he's shocked to find his father a buck-toothed wimp and his mother a goon-like tomboy. amidst the terror of raman raghav, the impending emergency of former prime minister indira gandhi, banning of multinationals--including coca cola--and the charisma of superstar rajesh khanna--he sets about to try to set things right between not only his bickering parents but also his feuding grandparents. he will soon find out that his mother has another admirer--who will leave no stone unturned to marry her."
tt0106215,Mutant Action,6.4,"comedy fantasy sci-fi álexdelaiglesia jorgeguerricaechevarría álexdelaiglesia antonioresines álexangulo frédériquefeder in a future world ruled by good-looking people, a terrorist group of mutants led by ramon yarritu kidnap the daughter of orujo, a rich businessman, to claim for the rights of the ugly people. escaping from the police in their spaceship, ramon try to kill his gang in order to get all the ransom. the trip ends abruptly when they crash in axturiax, the planet of the crazy miners where no woman lives."
tt0035608,Action in the North Atlantic,7.0,"drama war lloydbacon byronhaskin raoulwalsh johnhowardlawson guygilpatric a.i.bezzerides humphreybogart raymondmassey alanhale lieutenant joe rossi is 1st officer on a liberty ship in a great convoy bound from halifax to murmansk. after german subs crushed the convoy, his ship loses the convoy and is heading alone to murmansk. in spite of attacks by german planes and subs, he get the ship to murmansk."
tt5320514,Action Hero Biju,7.6,"action comedy thriller abridshine muhammedshafeekh abridshine nivinpauly anuemmanuel deviajith the story of action hero biju revolves around certain interesting episodes in the life of a young police officer, his personal and professional life. nivin pauly plays the titular role, sub inspector biju paulose, an officer in a janamaithri police station. the situations take the story forward. action hero biju is a realistic portrayal of a cops life, in contrast to the macho appearance seen usually in action movies."
tt0403935,Action Jackson,3.4,"action prabhudeva a.c.mughil shirazahmed prabhudeva prabhas ajaydevgn yamigautam vishi is a local goon who basically likes beating up people to get his work done but is nonetheless a kind-hearted person. on the other hand khushi is an extremely clumsy girl who keeps losing her chances with destiny and gets suddenly lucky after she accidentally meets vishi. amidst the building chemistry between khushi and vishi, local cops and an international don named xavier are on the look-out for aj aka jai who is a look alike of vishi and is in the same city. the story takes a major turn of events when both aj and vishi come face to face."
tt12703292,A Man of Action,6.4,"biography crime drama javierruizcaldera patxiamezcua juanjoséballesta luiscallejo liaho'prey which we follow in lucio's footsteps as part of the european anarchist movement, from his humble beginnings as a bricklayer turned bank robber, to taking the lead in one of the most important economic shenanigans of the last century. but lucio will have to choose between the anarchist cause and protecting his own."
tt8707436,Uncharted: Live Action Fan Film,8.5,short action adventure family fantasy allanungar allanungar jessewheeler nathanfillion stephenlang genosegers mirceamonroe treasure hunter nathan drake finds himself captured while searching for the lost treasure of the flor de la mar.
tt0070046,Executive Action,6.7,"crime drama history davidmiller daltontrumbo donaldfreed marklane burtlancaster robertryan willgeer a dramatization about how the high level covert conspirators in the jfk assassination might have planned and plotted the assassination based on the data and facts of the case. it posits that a covert group of rogue intelligence agents, ultra-conservative politicians, unscrupulously greedy business interests, and free-lance assassins become increasingly alarmed at president kennedy's policies, including his views on race relations, winding down the vietnam war, and ending the oil depletion allowance. they decide to terminate him through an ""executive action"" utilizing three teams of well-trained snipers during jfk's visit to dallas and place the blame on supposed cia operative lee harvey oswald as the lone assassin."
tt34269065,"Jerry Springer: Fights, Camera, Action",6.4,"documentary   robertfeder tobiasyoshimura richarddominick jaw-dropping documentary goes behind the scenes of america's most controversial talk show to expose its biggest scandals, both on- and off-camera."
tt5805470,Gintama Live Action the Movie,6.1,"action adventure comedy yûichifukuda hideakisorachi yûichifukuda takayukiyamada shunoguri masaminagasawa in an era where aliens have invaded and conquered feudal tokyo, a young samurai seeks work as he can."
tt5419200,Justice League Action,7.5,"animation action adventure   kevinconroy jasonj.lewis rachelkimsey batman, superman and wonder woman will lead the dc super heroes against their most infamous foes."
tt30850798,RAM: Rapid Action Mission,5.2,drama mihiraamvynateyaa mihiraamvynateyaa suryaayyalasomyajula dhanyabalakrishna mahaboobbasha a young rebel who hates the defense forces because he lost his father to the war.
tt29278671,Guns Trance Action,8.9,action crime drama deepaksidhanth  chaithanyapasupuleti heenarai sudharshan four sociopaths get into a brutal face off with a college student rishi. their characters are designed as per gta game.
