mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.8513807773590087,0.2621855705420931,0.02114720344543457,0.013123008657759205,0.01,2,1,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",0.4204645281726881,0.4526478715445664,0.429745182366695,0.37676710240398614,0.40598371338154515,0.41712167957389623,0.025239587813256137,1276
0.6405890941619873,0.22398062827798498,0.01986351013183594,0.01502955474839585,0.01,2,1,2,100,0.9,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.9}",0.41657999837110204,0.44973540767737596,0.4350032499728592,0.37948185198374595,0.3974702892198697,0.4156541594449906,0.025202638459038695,1285
0.29899029731750487,0.013327272855091651,0.009943532943725585,0.001762648574862985,0.01,2,1,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",0.4299310698684532,0.4411057158152296,0.42869255249366456,0.37870835734429487,0.38854913654014966,0.41339736641235836,0.024883008547094045,1288
0.6128615856170654,0.015154070442232815,0.009778690338134766,0.0027095232602537826,0.01,2,1,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",0.5313594203142166,0.5929416778071099,0.5427505935502726,0.5071939005904438,0.5236480020987088,0.5395787188721504,0.029078470510352217,1033
0.602434492111206,0.026369080135055078,0.0070465087890625,0.0023724271795438076,0.01,2,1,2,200,0.9,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.9}",0.5301784232762694,0.5861214839984334,0.537356885967687,0.513377868104097,0.5075071988696137,0.5349083720432202,0.027804810242388147,1063
0.5799455165863037,0.031910424067245154,0.00900726318359375,0.002194273164303386,0.01,2,1,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",0.5385362372421383,0.5785435961342615,0.5307172109994882,0.5068239387783904,0.4951590757683717,0.52995601178453,0.02891668239533888,1107
1.0704567909240723,0.1377703050767604,0.011837959289550781,0.002254040134606464,0.01,2,1,2,300,0.8,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.8}",0.5789872984519266,0.6434190225835513,0.5873317525417205,0.5652508798337141,0.5604096660110529,0.5870797238843932,0.02975721043812169,544
1.2292738437652588,0.25207620678629217,0.00877385139465332,0.000910096032095775,0.01,2,1,2,300,0.9,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 0.9}",0.5788674307207486,0.6415351601912378,0.5898414315075415,0.5669811154118503,0.549321032792131,0.5853092341247018,0.03115914946515006,564
0.9557324409484863,0.1508735983131042,0.013104629516601563,0.005772546365153149,0.01,2,1,2,300,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300, 'subsample': 1.0}",0.5822317330952267,0.6257534006410481,0.585961174234839,0.5576247714202769,0.538925686114386,0.5780993531011553,0.029337953995072885,666
0.3176431179046631,0.026194442356078367,0.009121465682983398,0.0010315257169366753,0.01,2,1,5,100,0.8,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.8}",0.4204645281726881,0.4526478715445664,0.429745182366695,0.37676710240398614,0.40598371338154515,0.41712167957389623,0.025239587813256137,1276
0.29856243133544924,0.009928594096177358,0.007285881042480469,0.0009648640466121802,0.01,2,1,5,100,0.9,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 0.9}",0.41657999837110204,0.44973540767737596,0.4350032499728592,0.37948185198374595,0.3974702892198697,0.4156541594449906,0.025202638459038695,1285
0.26355390548706054,0.008625170059332244,0.009051179885864258,0.004715527022030719,0.01,2,1,5,100,1.0,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'subsample': 1.0}",0.4299310698684532,0.4411057158152296,0.42869255249366456,0.37870835734429487,0.38854913654014966,0.41339736641235836,0.024883008547094045,1288
0.5918757915496826,0.023482746703845085,0.011013174057006836,0.002416223781615344,0.01,2,1,5,200,0.8,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.8}",0.5313594203142166,0.5929416778071099,0.5427505935502726,0.5071939005904438,0.5236480020987088,0.5395787188721504,0.029078470510352217,1033
0.6609931468963623,0.06384892863229258,0.01033639907836914,0.0029612145787196523,0.01,2,1,5,200,0.9,"{'learning_rate': 0.01, 'max_depth': 2, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200, 'subsample': 0.9}",0.5301784232762694,0.5861214839984334,0.537356885967687,0.513377868104097,0.5075071988696137,0.5349083720432202,0.027804810242388147,1063
