Model,MAE,MSE,RMSE,R2 Score
Gradient Boosting,960578.7795232662,1689379037287.4016,1299761.146244725,0.6657719736897354
Linear Regression,970043.4039201643,1754318687330.6682,1324506.9600914402,0.6529242642153175
Random Forest,1022197.2087155964,1961943874709.6912,1400694.068920723,0.6118475401301091
XGBoost,1073249.125,2099398180864.0,1448930.0124105373,0.5846534967422485
Decision Tree,1195266.0550458715,2642802637614.6787,1625669.904259373,0.4771459275854347
